profile_id,kpi,order_index,position_median,position_n,position_low_confidence,spread,spread_pct,overall_median,threshold_pct,order_effect_suspected,not_computable_reason,low_confidence,implausible_values,distinct_rounds,rotation_warning,no_order_evidence,rotates_within_run,position_cell_imbalance,position_cells_uneven,synthetic
s1_chat,t1_ttft_ms,0,50.486562500000005,20,False,0.9237490000000008,1.8296928019213048,50.486562500000005,10.0,False,,False,,3,False,False,5,False,,False
s1_chat,t1_ttft_ms,5,50.186667,5,False,0.9237490000000008,1.8296928019213048,50.486562500000005,10.0,False,,False,,3,False,False,5,False,,False
s1_chat,t1_ttft_ms,7,51.110416,5,False,0.9237490000000008,1.8296928019213048,50.486562500000005,10.0,False,,False,,3,False,False,5,False,,False
s2_coding_agent,t1_ttft_ms,1,65.825125,20,False,2.147896000000003,3.272792676342133,65.62884399999999,10.0,False,,False,,3,False,False,5,False,,False
s2_coding_agent,t1_ttft_ms,3,64.1315,5,False,2.147896000000003,3.272792676342133,65.62884399999999,10.0,False,,False,,3,False,False,5,False,,False
s2_coding_agent,t1_ttft_ms,8,66.279396,5,False,2.147896000000003,3.272792676342133,65.62884399999999,10.0,False,,False,,3,False,False,5,False,,False
s3_multimodal,t1_ttft_ms,2,61.5809895,20,False,3.148698500000009,5.048281762845391,62.371686999999994,10.0,False,,False,,3,False,False,5,False,,False
s3_multimodal,t1_ttft_ms,4,63.17225,5,False,3.148698500000009,5.048281762845391,62.371686999999994,10.0,False,,False,,3,False,False,5,False,,False
s3_multimodal,t1_ttft_ms,6,64.72968800000001,5,False,3.148698500000009,5.048281762845391,62.371686999999994,10.0,False,,False,,3,False,False,5,False,,False
s1_chat,n1_rtt_p50_ms,0,79.5085,20,False,18.921499999999995,25.734959095267563,73.52449999999999,10.0,True,,False,,3,False,False,5,False,,False
s1_chat,n1_rtt_p50_ms,5,71.269,5,False,18.921499999999995,25.734959095267563,73.52449999999999,10.0,True,,False,,3,False,False,5,False,,False
s1_chat,n1_rtt_p50_ms,7,60.587,5,False,18.921499999999995,25.734959095267563,73.52449999999999,10.0,True,,False,,3,False,False,5,False,,False
s2_coding_agent,n1_rtt_p50_ms,1,81.48349999999999,20,False,8.142499999999998,10.460358549102983,77.8415,10.0,True,,False,,3,False,False,5,False,,False
s2_coding_agent,n1_rtt_p50_ms,3,73.341,5,False,8.142499999999998,10.460358549102983,77.8415,10.0,True,,False,,3,False,False,5,False,,False
s2_coding_agent,n1_rtt_p50_ms,8,73.611,5,False,8.142499999999998,10.460358549102983,77.8415,10.0,True,,False,,3,False,False,5,False,,False
s3_multimodal,n1_rtt_p50_ms,2,79.172,20,False,16.767999999999994,21.7390740668715,77.133,10.0,True,,False,,3,False,False,5,False,,False
s3_multimodal,n1_rtt_p50_ms,4,73.508,5,False,16.767999999999994,21.7390740668715,77.133,10.0,True,,False,,3,False,False,5,False,,False
s3_multimodal,n1_rtt_p50_ms,6,62.404,5,False,16.767999999999994,21.7390740668715,77.133,10.0,True,,False,,3,False,False,5,False,,False
s1_chat,u1_goodput_mbps,0,0.12508028957702866,20,False,0.011337585351043677,8.666433966828507,0.13082180507506574,10.0,False,,False,,3,False,False,5,False,,False
s1_chat,u1_goodput_mbps,5,0.12899041663558164,5,False,0.011337585351043677,8.666433966828507,0.13082180507506574,10.0,False,,False,,3,False,False,5,False,,False
s1_chat,u1_goodput_mbps,7,0.13641787492807234,5,False,0.011337585351043677,8.666433966828507,0.13082180507506574,10.0,False,,False,,3,False,False,5,False,,False
s2_coding_agent,u1_goodput_mbps,1,4.539411523750511,20,False,0.17216454332568798,3.8305633719265804,4.494496673451401,10.0,False,,False,,3,False,False,5,False,,False
s2_coding_agent,u1_goodput_mbps,3,4.367246980424823,5,False,0.17216454332568798,3.8305633719265804,4.494496673451401,10.0,False,,False,,3,False,False,5,False,,False
s2_coding_agent,u1_goodput_mbps,8,4.524805709280758,5,False,0.17216454332568798,3.8305633719265804,4.494496673451401,10.0,False,,False,,3,False,False,5,False,,False
s3_multimodal,u1_goodput_mbps,2,5.13314966787018,20,False,0.09673008070469002,1.8932700728454526,5.109153844031955,10.0,False,,False,,3,False,False,5,False,,False
s3_multimodal,u1_goodput_mbps,4,5.094070784840058,5,False,0.09673008070469002,1.8932700728454526,5.109153844031955,10.0,False,,False,,3,False,False,5,False,,False
s3_multimodal,u1_goodput_mbps,6,5.03641958716549,5,False,0.09673008070469002,1.8932700728454526,5.109153844031955,10.0,False,,False,,3,False,False,5,False,,False
