campaign_id,point_id,carrier,time_band,tier,profile_id,kpi,n,median,mean,cv_percent,unstable,low_confidence,cv_not_computable_reason,implausible_values,synthetic
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s1_chat,t1_ttft_ms,25,453.8,454.644,4.893000111241206,False,False,,,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,26,431.8,439.09923076923076,10.988846618017838,True,False,,,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,26,447.79999999999995,450.2230769230769,5.748739762547752,False,False,,,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s1_chat,t1_ttft_ms,25,437.2,436.23199999999997,4.187538417488127,False,False,,,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,25,426.41,435.50919999999996,10.963540912400234,True,False,,,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,27,431.0,429.82222222222225,5.1050340340489475,False,False,,,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s1_chat,t1_ttft_ms,24,463.25,464.94166666666666,4.619381283002349,False,False,,,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,27,457.33,463.5892592592593,12.93783401338701,True,False,,,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s3_multimodal,t1_ttft_ms,23,457.8,458.66521739130434,3.8194863166685855,False,False,,,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s1_chat,t1_ttft_ms,25,429.8,433.86,4.0904131179686605,False,False,,,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,24,434.645,433.2108333333333,10.933551791409046,True,False,,,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s3_multimodal,t1_ttft_ms,25,443.5,439.86,3.22892024987049,False,False,,,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s1_chat,t1_ttft_ms,26,460.25,458.80384615384617,3.8968195375384154,False,False,,,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,27,453.66,441.86888888888893,12.48334857212045,True,False,,,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,25,471.9,466.44,5.4470915050680455,False,False,,,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s1_chat,t1_ttft_ms,23,435.6,436.39130434782606,4.750412852391615,False,False,,,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,27,421.81,430.3062962962963,14.506467514755428,True,False,,,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,26,439.4,437.30384615384617,4.805155282275554,False,False,,,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s1_chat,t1_ttft_ms,22,457.5,464.67272727272723,4.914629146243384,False,False,,,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,23,462.24,451.24,10.653005832477323,True,False,,,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s3_multimodal,t1_ttft_ms,26,467.5,467.50384615384615,4.1430797972386575,False,False,,,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s1_chat,t1_ttft_ms,26,441.6,443.7730769230769,4.074321618819699,False,False,,,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,26,456.9,443.2234615384615,13.375447614037867,True,False,,,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s3_multimodal,t1_ttft_ms,26,449.95,447.4269230769231,4.631707125678091,False,False,,,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s1_chat,t1_ttft_ms,15,468.2,467.0466666666667,3.63641780860662,False,False,,,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,13,409.14,434.5430769230769,10.970254430836322,True,False,,,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,15,463.1,466.68,3.989097789475481,False,False,,,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s1_chat,t1_ttft_ms,13,452.8,452.7692307692308,2.8037633794114254,False,False,,,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,14,458.99,453.28142857142853,12.688354175863523,True,False,,,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,14,448.7,450.42857142857144,4.801551933518468,False,False,,,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s1_chat,t1_ttft_ms,13,481.3,486.9692307692308,3.865038294931312,False,False,,,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,475.755,478.3507142857143,13.056154619898413,True,False,,,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s3_multimodal,t1_ttft_ms,15,475.3,478.9933333333333,4.714026578720963,False,False,,,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s1_chat,t1_ttft_ms,13,468.2,461.37692307692305,4.818644705983634,False,False,,,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,15,455.67,448.1993333333333,8.559214410542998,False,False,,,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s3_multimodal,t1_ttft_ms,15,447.7,445.6933333333333,3.973173336533625,False,False,,,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s1_chat,t1_ttft_ms,14,498.15,498.5642857142857,21.191353265918575,True,False,,,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,12,415.33,436.6375,26.099516204237688,True,False,,,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,13,447.1,439.59230769230766,27.43615429628834,True,False,,,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s1_chat,t1_ttft_ms,13,452.9,447.4846153846154,25.550726951961266,True,False,,,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,15,443.79,446.4173333333334,16.999006361279136,True,False,,,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,15,414.6,437.7866666666667,21.689696009583205,True,False,,,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s1_chat,t1_ttft_ms,14,497.79999999999995,493.82857142857137,28.156678374243103,True,False,,,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,512.3149999999999,527.7978571428572,17.454481797404352,True,False,,,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s3_multimodal,t1_ttft_ms,13,509.0,517.8,16.55013077229775,True,False,,,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s1_chat,t1_ttft_ms,13,427.4,450.5769230769231,15.279154272563764,True,False,,,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,13,407.76,444.6569230769231,26.764744100531896,True,False,,,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s3_multimodal,t1_ttft_ms,15,471.5,484.02666666666664,17.91726431513667,True,False,,,True
SYNTH-EXP,SYNTH-P05,cmcc,busy,metro,s1_chat,t1_ttft_ms,13,479.0,478.6769230769231,3.4707767182837213,False,False,,,True
SYNTH-EXP,SYNTH-P05,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,14,466.295,477.6107142857143,11.87205589944904,True,False,,,True
SYNTH-EXP,SYNTH-P05,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,15,489.4,484.7,5.066394592739424,False,False,,,True
SYNTH-EXP,SYNTH-P05,cmcc,idle,metro,s1_chat,t1_ttft_ms,15,451.6,452.06,4.021460726608838,False,False,,,True
SYNTH-EXP,SYNTH-P05,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,15,428.87,436.05199999999996,9.949766425621755,False,False,,,True
SYNTH-EXP,SYNTH-P05,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,15,442.1,444.22,4.0976185148368405,False,False,,,True
SYNTH-EXP,SYNTH-P05,cucc,busy,metro,s1_chat,t1_ttft_ms,13,501.3,501.36153846153843,4.114121471220686,False,False,,,True
SYNTH-EXP,SYNTH-P05,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,497.405,503.6564285714286,13.691823047278707,True,False,,,True
SYNTH-EXP,SYNTH-P05,cucc,busy,metro,s3_multimodal,t1_ttft_ms,15,495.1,494.88,4.081327419436871,False,False,,,True
SYNTH-EXP,SYNTH-P05,cucc,idle,metro,s1_chat,t1_ttft_ms,14,465.25,468.57142857142856,3.5628340295674863,False,False,,,True
SYNTH-EXP,SYNTH-P05,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,14,463.655,465.6478571428571,9.39600927333668,False,False,,,True
SYNTH-EXP,SYNTH-P05,cucc,idle,metro,s3_multimodal,t1_ttft_ms,14,467.1,465.2857142857143,5.200701256405138,False,False,,,True
SYNTH-EXP,SYNTH-P06,cmcc,busy,metro,s1_chat,t1_ttft_ms,15,487.4,492.8,4.369635114565436,False,False,,,True
SYNTH-EXP,SYNTH-P06,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,14,490.87,479.3464285714286,8.26190161760886,False,False,,,True
SYNTH-EXP,SYNTH-P06,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,14,494.2,492.0142857142857,4.5023339822395165,False,False,,,True
SYNTH-EXP,SYNTH-P06,cmcc,idle,metro,s1_chat,t1_ttft_ms,14,460.65,459.0,5.601628766225746,False,False,,,True
