12:53:22	mWakefulness=Asleep
12:53:33	mWakefulness=Asleep
12:53:43	mWakefulness=Asleep
12:53:53	mWakefulness=Asleep
12:54:04	mWakefulness=Asleep
12:54:14	mWakefulness=Asleep
12:54:25	mWakefulness=Awake
12:54:35	mWakefulness=Awake
12:54:45	mWakefulness=Awake
12:54:56	mWakefulness=Awake
12:55:06	mWakefulness=Awake
12:55:16	mWakefulness=Awake
12:55:26	mWakefulness=Awake
12:55:37	mWakefulness=Awake
12:55:47	mWakefulness=Awake
12:55:57	mWakefulness=Awake
12:56:08	mWakefulness=Awake
12:56:18	mWakefulness=Awake
12:56:28	mWakefulness=Awake
12:56:39	mWakefulness=Awake
12:56:49	mWakefulness=Awake
12:56:59	mWakefulness=Awake
12:57:10	mWakefulness=Awake
12:57:20	mWakefulness=Awake
12:57:30	mWakefulness=Awake
12:57:41	mWakefulness=Awake
12:57:51	mWakefulness=Awake
12:58:02	mWakefulness=Awake
12:58:12	mWakefulness=Awake
12:58:23	mWakefulness=Awake
12:58:33	mWakefulness=Awake
12:58:43	mWakefulness=Awake
12:58:53	mWakefulness=Awake
12:59:04	mWakefulness=Awake
12:59:14	mWakefulness=Awake
12:59:24	mWakefulness=Awake
12:59:35	mWakefulness=Awake
12:59:45	mWakefulness=Awake
12:59:56	mWakefulness=Awake
13:00:06	mWakefulness=Awake
13:00:16	mWakefulness=Awake
13:00:27	mWakefulness=Awake
13:00:37	mWakefulness=Awake
13:00:47	mWakefulness=Awake
13:00:57	mWakefulness=Awake
13:01:08	mWakefulness=Awake
13:01:18	mWakefulness=Awake
13:01:28	mWakefulness=Awake
13:01:39	mWakefulness=Awake
