ts_local	getprop	ril_rat	is_nr_available	nr_freq_range	pci	screen
2026-08-02T02:17:25	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:17:59	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:18:30	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:19:01	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:19:33	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:20:05	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:20:36	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:21:08	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:21:39	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:22:12	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:22:43	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:23:17	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:23:48	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:24:19	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:24:50	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:25:22	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:25:55	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:26:26	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:26:58	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:27:29	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:28:00	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:28:33	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:29:04	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:29:35	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:30:05	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:30:37	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:31:08	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:31:39	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:32:10	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:32:41	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:33:12	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:33:43	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:34:14	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:34:45	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:35:16	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:35:47	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:36:18	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:36:49	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:37:20	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:37:51	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:38:23	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:38:54	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:39:25	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:39:55	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:40:26	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:40:57	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:41:28	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:41:59	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:42:30	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:43:03	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:43:35	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:44:06	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:44:37	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:45:09	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:45:40	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:46:11	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:46:42	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:47:13	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:47:44	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:48:15	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:48:47	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:49:20	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:49:51	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:50:23	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:50:54	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:51:26	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:51:58	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:52:29	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:53:00	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:53:31	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:54:02	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:54:33	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:55:04	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:55:35	LTE,Unknown	LTE	false	0	420	OFF
2026-08-02T02:56:06	LTE,Unknown	LTE	false	0	420	OFF
