Stats since: 1ns
---PROFILEDATA---
Flags,FrameTimelineVsyncId,IntendedVsync,Vsync,InputEventId,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,FrameDeadline,FrameInterval,FrameStartTime,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted,SwapBuffersCompleted,DisplayPresentTime,CommandSubmissionCompleted,
0,0,5000098167585,5000098167585,7,0,0,0,0,0,0,0,0,0,0,0,5000114834251,0,0,0,0,5000114834251,0,
0,0,5000124128902,5000124128902,7,0,0,0,0,0,0,0,0,0,0,0,5000140795568,0,0,0,0,5000140795568,0,
0,0,5000155541815,5000155541815,7,0,0,0,0,0,0,0,0,0,0,0,5000172208481,0,0,0,0,5000172208481,0,
0,0,5002055116294,5002055116294,0,0,0,0,0,0,0,0,0,0,0,0,5002071782960,0,0,0,0,5002071782960,0,
0,0,5002133834206,5002133834206,0,0,0,0,0,0,0,0,0,0,0,0,5002150500872,0,0,0,0,5002150500872,0,
0,0,5002255310955,5002255310955,0,0,0,0,0,0,0,0,0,0,0,0,5002271977621,0,0,0,0,5002271977621,0,
0,0,5002350912608,5002350912608,0,0,0,0,0,0,0,0,0,0,0,0,5002367579274,0,0,0,0,5002367579274,0,
0,0,5002498061709,5002498061709,0,0,0,0,0,0,0,0,0,0,0,0,5002514728375,0,0,0,0,5002514728375,0,
0,0,5002608003068,5002608003068,0,0,0,0,0,0,0,0,0,0,0,0,5002624669734,0,0,0,0,5002624669734,0,
0,0,5002689952661,5002689952661,0,0,0,0,0,0,0,0,0,0,0,0,5002706619327,0,0,0,0,5002706619327,0,
0,0,5002810470033,5002810470033,0,0,0,0,0,0,0,0,0,0,0,0,5002827136699,0,0,0,0,5002827136699,0,
0,0,5002904704302,5002904704302,0,0,0,0,0,0,0,0,0,0,0,0,5002921370968,0,0,0,0,5002921370968,0,
0,0,5003055612292,5003055612292,0,0,0,0,0,0,0,0,0,0,0,0,5003072278958,0,0,0,0,5003072278958,0,
0,0,5003164784920,5003164784920,0,0,0,0,0,0,0,0,0,0,0,0,5003181451586,0,0,0,0,5003181451586,0,
0,0,5003243018062,5003243018062,0,0,0,0,0,0,0,0,0,0,0,0,5003259684728,0,0,0,0,5003259684728,0,
0,0,5003365947220,5003365947220,0,0,0,0,0,0,0,0,0,0,0,0,5003382613886,0,0,0,0,5003382613886,0,
0,0,5003460364351,5003460364351,0,0,0,0,0,0,0,0,0,0,0,0,5003477031017,0,0,0,0,5003477031017,0,
0,0,5003608659831,5003608659831,0,0,0,0,0,0,0,0,0,0,0,0,5003625326497,0,0,0,0,5003625326497,0,
0,0,5003720734024,5003720734024,0,0,0,0,0,0,0,0,0,0,0,0,5003737400690,0,0,0,0,5003737400690,0,
0,0,5003800325870,5003800325870,0,0,0,0,0,0,0,0,0,0,0,0,5003816992536,0,0,0,0,5003816992536,0,
0,0,5003918114776,5003918114776,0,0,0,0,0,0,0,0,0,0,0,0,5003934781442,0,0,0,0,5003934781442,0,
0,0,5004014154805,5004014154805,0,0,0,0,0,0,0,0,0,0,0,0,5004030821471,0,0,0,0,5004030821471,0,
0,0,5004162649590,5004162649590,0,0,0,0,0,0,0,0,0,0,0,0,5004179316256,0,0,0,0,5004179316256,0,
0,0,5004273635957,5004273635957,0,0,0,0,0,0,0,0,0,0,0,0,5004290302623,0,0,0,0,5004290302623,0,
0,0,5004355760111,5004355760111,0,0,0,0,0,0,0,0,0,0,0,0,5004372426777,0,0,0,0,5004372426777,0,
0,0,5004474101736,5004474101736,0,0,0,0,0,0,0,0,0,0,0,0,5004490768402,0,0,0,0,5004490768402,0,
0,0,5004571187761,5004571187761,0,0,0,0,0,0,0,0,0,0,0,0,5004587854427,0,0,0,0,5004587854427,0,
0,0,5004717552106,5004717552106,0,0,0,0,0,0,0,0,0,0,0,0,5004734218772,0,0,0,0,5004734218772,0,
0,0,5004870073733,5004870073733,0,0,0,0,0,0,0,0,0,0,0,0,5004886740399,0,0,0,0,5004886740399,0,
0,0,5008990758475,5008990758475,7,0,0,0,0,0,0,0,0,0,0,0,5009007425141,0,0,0,0,5009007425141,0,
0,0,5009013879698,5009013879698,7,0,0,0,0,0,0,0,0,0,0,0,5009030546364,0,0,0,0,5009030546364,0,
0,0,5009043598161,5009043598161,7,0,0,0,0,0,0,0,0,0,0,0,5009060264827,0,0,0,0,5009060264827,0,
0,0,5010943871330,5010943871330,0,0,0,0,0,0,0,0,0,0,0,0,5010960537996,0,0,0,0,5010960537996,0,
0,0,5011063551121,5011063551121,0,0,0,0,0,0,0,0,0,0,0,0,5011080217787,0,0,0,0,5011080217787,0,
0,0,5011161009855,5011161009855,0,0,0,0,0,0,0,0,0,0,0,0,5011177676521,0,0,0,0,5011177676521,0,
0,0,5011308891239,5011308891239,0,0,0,0,0,0,0,0,0,0,0,0,5011325557905,0,0,0,0,5011325557905,0,
0,0,5011418472901,5011418472901,0,0,0,0,0,0,0,0,0,0,0,0,5011435139567,0,0,0,0,5011435139567,0,
0,0,5011497908625,5011497908625,0,0,0,0,0,0,0,0,0,0,0,0,5011514575291,0,0,0,0,5011514575291,0,
0,0,5011619962679,5011619962679,0,0,0,0,0,0,0,0,0,0,0,0,5011636629345,0,0,0,0,5011636629345,0,
0,0,5011715762577,5011715762577,0,0,0,0,0,0,0,0,0,0,0,0,5011732429243,0,0,0,0,5011732429243,0,
0,0,5011865894079,5011865894079,0,0,0,0,0,0,0,0,0,0,0,0,5011882560745,0,0,0,0,5011882560745,0,
0,0,5011974114105,5011974114105,0,0,0,0,0,0,0,0,0,0,0,0,5011990780771,0,0,0,0,5011990780771,0,
0,0,5012053882664,5012053882664,0,0,0,0,0,0,0,0,0,0,0,0,5012070549330,0,0,0,0,5012070549330,0,
0,0,5012173927732,5012173927732,0,0,0,0,0,0,0,0,0,0,0,0,5012190594398,0,0,0,0,5012190594398,0,
