point_id,carrier,time_band,campaign_id,order_index,median,n,direction,first_last_delta,noise,within_noise,order_basis,low_confidence,implausible_values,synthetic
SZ-PILOT-01,ctcc,busy,m2-pilot-20260731,0,89.00724386507572,11,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,warmup-transport-probe,1,89.19692460637127,8,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,m2-idleprobe-20260731,2,,0,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,radiowire-verify-20260801,3,,0,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,m2-busyradio-20260801,4,89.20175643498438,4,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,m2-afternoonradio-20260801,5,89.37748664868803,4,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,m2-idlenight-20260801,6,,0,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,m3-expansion-busyband-20260803,7,90.60460826056448,16,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,busy,m3-expansion-wave0,8,,0,improving,1.5973643954887535,0.2839491387962796,False,time,True,,False
SZ-PILOT-01,ctcc,idle,m2-pilot-20260731,0,89.32784526308546,1,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,warmup-transport-probe,1,,0,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,m2-idleprobe-20260731,2,89.10541660815824,4,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,radiowire-verify-20260801,3,89.29382217476646,1,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,m2-busyradio-20260801,4,,0,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,m2-afternoonradio-20260801,5,,0,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,m2-idlenight-20260801,6,89.21079670355519,4,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,m3-expansion-busyband-20260803,7,,0,noise_unknown,-2.5284747800531306,,,time,True,,False
SZ-PILOT-01,ctcc,idle,m3-expansion-wave0,8,86.79937048303233,20,noise_unknown,-2.5284747800531306,,,time,True,,False
