point_id,carrier,time_band,profile_id,kpi,access,regional_incr,core_incr,end_to_end_core,coverage,low_confidence,not_computable_reason,incomparability,tier_time_spread_ms,severe_incomparability,synthetic
SZ-PILOT-01,ctcc,busy,s1_chat,n1_rtt_p50_ms,65.227,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-afternoonradio-20260801/m2-busyradio-20260801/m2-pilot-20260731/m3-expansion-busyband-20260803/warmup-transport-probe;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,False
SZ-PILOT-01,ctcc,busy,s2_coding_agent,n1_rtt_p50_ms,65.072,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-afternoonradio-20260801/m2-busyradio-20260801/m2-pilot-20260731/m3-expansion-busyband-20260803/warmup-transport-probe;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,False
SZ-PILOT-01,ctcc,busy,s3_multimodal,n1_rtt_p50_ms,62.848,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-afternoonradio-20260801/m2-busyradio-20260801/m2-pilot-20260731/m3-expansion-busyband-20260803/warmup-transport-probe;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,False
SZ-PILOT-01,ctcc,idle,s1_chat,n1_rtt_p50_ms,70.5195,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-idlenight-20260801/m2-idleprobe-20260731/m2-pilot-20260731/m3-expansion-wave0/radiowire-verify-20260801;MIXED_MODE:forensic/quick",,,False
SZ-PILOT-01,ctcc,idle,s2_coding_agent,n1_rtt_p50_ms,73.1315,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-idlenight-20260801/m2-idleprobe-20260731/m2-pilot-20260731/m3-expansion-wave0/radiowire-verify-20260801;MIXED_MODE:forensic/quick",,,False
SZ-PILOT-01,ctcc,idle,s3_multimodal,n1_rtt_p50_ms,71.8965,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-idlenight-20260801/m2-idleprobe-20260731/m2-pilot-20260731/m3-expansion-wave0/radiowire-verify-20260801;MIXED_MODE:forensic/quick",,,False
SZ-PILOT-01,ctcc,busy,s1_chat,t1_ttft_ms,52.770354999999995,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-afternoonradio-20260801/m2-busyradio-20260801/m2-pilot-20260731/m3-expansion-busyband-20260803/warmup-transport-probe;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,False
SZ-PILOT-01,ctcc,busy,s2_coding_agent,t1_ttft_ms,54.778562,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-afternoonradio-20260801/m2-busyradio-20260801/m2-pilot-20260731/m3-expansion-busyband-20260803/warmup-transport-probe;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,False
SZ-PILOT-01,ctcc,busy,s3_multimodal,t1_ttft_ms,52.819396,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-afternoonradio-20260801/m2-busyradio-20260801/m2-pilot-20260731/m3-expansion-busyband-20260803/warmup-transport-probe;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,False
SZ-PILOT-01,ctcc,idle,s1_chat,t1_ttft_ms,54.5539165,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-idlenight-20260801/m2-idleprobe-20260731/m2-pilot-20260731/m3-expansion-wave0/radiowire-verify-20260801;MIXED_MODE:forensic/quick",,,False
SZ-PILOT-01,ctcc,idle,s2_coding_agent,t1_ttft_ms,64.063364,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-idlenight-20260801/m2-idleprobe-20260731/m2-pilot-20260731/m3-expansion-wave0/radiowire-verify-20260801;MIXED_MODE:forensic/quick",,,False
SZ-PILOT-01,ctcc,idle,s3_multimodal,t1_ttft_ms,62.924634999999995,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_CAMPAIGN:m2-idlenight-20260801/m2-idleprobe-20260731/m2-pilot-20260731/m3-expansion-wave0/radiowire-verify-20260801;MIXED_MODE:forensic/quick",,,False
