campaign_id,point_id,carrier,time_band,tier,profile_id,kpi,n,median,cv_percent,unstable,target_effect_pct,target_abs,mde,mde_pct,mde_at_power,required_n_breakeven,required_n_at_power,resolves_target_breakeven,resolves_at_power,plan_power,scenario_intrinsic_jitter,scenario_jitter_reason,synthetic
m2-afternoonradio-20260801,SZ-PILOT-01,ctcc,busy,metro,s1_chat,t1_ttft_ms,12,60.034719,7.440923346454598,False,5.0,3.0017359500000005,2.2777204048704953,3.794005273632571,4.1946982617518,7,24,True,False,0.8,False,not_applicable,False
m2-afternoonradio-20260801,SZ-PILOT-01,ctcc,busy,metro,s2_coding_agent,t1_ttft_ms,12,61.129979500000005,6.869438048121849,False,5.0,3.0564989750000002,2.1243376494868182,3.475115919982957,3.9122253225732995,6,20,True,False,0.8,False,not_applicable,False
m2-afternoonradio-20260801,SZ-PILOT-01,ctcc,busy,metro,s3_multimodal,t1_ttft_ms,12,63.950854500000005,7.3385253477745325,False,5.0,3.197542725,2.352841056190744,3.6791393556605936,4.333042048302996,7,23,True,False,0.8,False,not_applicable,False
m2-busyradio-20260801,SZ-PILOT-01,ctcc,busy,metro,s1_chat,t1_ttft_ms,12,59.305707999999996,15.549932123065222,True,5.0,2.9652853999999995,4.83045060216827,8.145001155990364,8.895860396678156,32,109,False,False,0.8,False,network_side_unstable,False
m2-busyradio-20260801,SZ-PILOT-01,ctcc,busy,metro,s2_coding_agent,t1_ttft_ms,12,61.9346565,4.712550267304434,False,5.0,3.096732825,1.498829284239667,2.4200171098707344,2.760275835356664,3,10,True,True,0.8,False,not_applicable,False
m2-busyradio-20260801,SZ-PILOT-01,ctcc,busy,metro,s3_multimodal,t1_ttft_ms,12,64.1370105,6.52186262607666,False,5.0,3.2068505249999997,2.1683896754126444,3.380871135882837,3.9933524689002056,6,19,True,False,0.8,False,not_applicable,False
m2-idlenight-20260801,SZ-PILOT-01,ctcc,idle,metro,s1_chat,t1_ttft_ms,12,57.1201565,10.226505764485907,True,5.0,2.856007825,3.047222434548612,5.334758553311407,5.611829538884473,14,47,False,False,0.8,False,network_side_unstable,False
m2-idlenight-20260801,SZ-PILOT-01,ctcc,idle,metro,s2_coding_agent,t1_ttft_ms,12,62.309656000000004,4.081147612738209,False,5.0,3.1154828000000006,1.3126596268379507,2.1066712787468296,2.417421841238668,3,8,True,True,0.8,False,not_applicable,False
m2-idlenight-20260801,SZ-PILOT-01,ctcc,idle,metro,s3_multimodal,t1_ttft_ms,12,64.302042,4.951136751080446,False,5.0,3.2151021,1.6455691278598064,2.55912421546396,3.0305150471786813,4,11,True,True,0.8,False,not_applicable,False
m2-idleprobe-20260731,SZ-PILOT-01,ctcc,idle,metro,s1_chat,t1_ttft_ms,12,59.6099685,11.133306599358118,True,5.0,2.980498425,3.413346694085488,5.726134034252153,6.286091749373745,16,54,False,False,0.8,False,network_side_unstable,False
m2-idleprobe-20260731,SZ-PILOT-01,ctcc,idle,metro,s2_coding_agent,t1_ttft_ms,12,63.612531000000004,4.918848686856635,False,5.0,3.18062655,1.5696168213106334,2.4674648165007507,2.890639666698885,3,10,True,True,0.8,False,not_applicable,False
m2-idleprobe-20260731,SZ-PILOT-01,ctcc,idle,metro,s3_multimodal,t1_ttft_ms,12,62.741718500000005,9.344027024335274,False,5.0,3.137085925,3.0445641152256204,4.852535423022594,5.606933921573636,12,39,True,False,0.8,False,not_applicable,False
